id,label_0,label_0_prob,label_1,label_1_prob,label_2,label_2_prob
1,1,0.63379,20,0.27867737,2,0.030665865
2,20,0.9776904,1,0.0047905436,16,0.0032498369
3,12,0.33452895,2,0.30718634,20,0.1893758
4,2,0.6355949,1,0.12005321,12,0.08658984
5,8,0.39477676,4,0.2642348,18,0.118986376
6,9,0.9916504,1,0.0013665336,20,0.00083503214
7,19,0.9861967,20,0.0032314423,16,0.0026336876
8,1,0.993244,5,0.0016235661,15,0.0015669502
9,9,0.97614664,6,0.007059539,2,0.005974142
10,12,0.48450807,2,0.42915154,1,0.038233735
11,23,0.40586352,14,0.1667221,20,0.09652859
12,1,0.9617163,20,0.017555242,19,0.0071036136
13,20,0.9487919,2,0.020525778,1,0.015462029
14,19,0.8656843,9,0.0724101,20,0.02153352
15,12,0.8672478,13,0.09009723,2,0.015282167
16,20,0.9836964,2,0.0047323974,13,0.0026555911
17,1,0.5777853,15,0.23456511,20,0.06633155
18,20,0.98380935,2,0.006897581,1,0.0013895113
19,6,0.65963435,23,0.08161804,2,0.07844716
20,9,0.9945592,2,0.00088565925,5,0.0006017373
21,7,0.96390194,21,0.02068339,23,0.002201602
22,7,0.3000225,1,0.26845872,2,0.14659698
23,1,0.38168338,20,0.1992863,13,0.1979549
24,20,0.83288765,2,0.10793129,1,0.01428898
25,12,0.935967,13,0.047363464,2,0.0038418472
26,6,0.9977518,13,0.00029255523,20,0.0002470901
27,23,0.47241148,15,0.12762278,14,0.07752873
28,15,0.34331328,21,0.3048892,23,0.112220995
29,9,0.99494344,2,0.000714515,5,0.0005761034
30,2,0.9926702,12,0.0014519568,15,0.00078211795
31,2,0.9933774,9,0.0017764083,12,0.0006418373
32,19,0.98888797,20,0.0027351175,18,0.0020995229
33,19,0.93295085,16,0.057813276,20,0.0017260176
34,19,0.99179465,16,0.0043109907,18,0.00054405624
35,18,0.9642183,19,0.011105898,1,0.004579176
36,19,0.9965963,20,0.00061826,18,0.0004902154
37,19,0.6811788,20,0.21427247,12,0.051196408
38,19,0.9936371,12,0.0012236873,20,0.0010699008
39,19,0.99558914,20,0.0013215254,16,0.00047312488
40,19,0.9978537,13,0.00027793992,18,0.00024636093
41,15,0.9820739,1,0.009135899,5,0.0026238046
42,15,0.9452391,1,0.028660372,5,0.007263542
43,14,0.97288597,1,0.009043016,15,0.008303246
44,15,0.97693527,20,0.008362399,1,0.0069904155
45,5,0.9916082,1,0.0024774983,15,0.0017683472
46,20,0.9903948,1,0.001338731,15,0.0012902279
47,20,0.94815135,1,0.037003577,15,0.0038953598
48,2,0.9421697,20,0.041005682,12,0.004147146
49,1,0.95746833,15,0.02211376,20,0.0064836936
50,18,0.96745414,19,0.007663406,1,0.0043830695
51,1,0.9947936,15,0.0013869489,5,0.0009751138
52,1,0.99640036,15,0.0006139566,20,0.00058196083
53,13,0.9954833,1,0.0011270029,5,0.00057383155
54,20,0.9802238,1,0.0058068885,2,0.004693858
55,10,0.72101265,1,0.12557879,20,0.11590596
56,1,0.9935249,15,0.0030577732,20,0.00055222306
57,19,0.99691653,18,0.0006774036,1,0.00042937422
58,1,0.7228984,20,0.23214386,15,0.018436985
59,20,0.9600231,1,0.018691115,14,0.00649358
60,8,0.99686086,19,0.00048532846,7,0.00030825002
61,8,0.99640816,19,0.00054641505,15,0.00037064624
62,8,0.9961272,19,0.0005949065,1,0.00044299933
63,8,0.9614645,1,0.01825565,14,0.004276243
64,8,0.9968136,19,0.00049434707,7,0.00030350123
65,8,0.995665,7,0.0010864818,19,0.0006226088
66,8,0.99670756,19,0.00047052107,7,0.0003690284
67,8,0.99600285,19,0.0006042857,15,0.0005466373
68,9,0.95666116,1,0.010120562,5,0.008974507
69,9,0.99468637,2,0.00075617956,5,0.0006407693
70,9,0.31567284,5,0.21222124,18,0.2049447
71,9,0.99247885,2,0.0011465572,1,0.0010288459
72,1,0.92110395,8,0.025033234,14,0.014116058
73,9,0.99115235,13,0.0018380552,5,0.0017200302
74,9,0.9940625,2,0.00088792545,12,0.00077910564
75,9,0.9947162,2,0.0007808555,5,0.0006632295
76,9,0.9945814,2,0.0011074103,5,0.00050149334
77,9,0.9838292,12,0.007128279,2,0.002274132
78,9,0.99481416,2,0.000721431,5,0.0005276501
79,9,0.99530774,2,0.00069624855,5,0.00045049234
80,9,0.9950948,2,0.0007182705,12,0.0004964333
81,9,0.9605166,20,0.0117750615,6,0.0064446004
82,9,0.99482816,2,0.000743085,12,0.0005392516
83,9,0.99508214,2,0.0007356511,13,0.0005225874
84,9,0.99537045,2,0.0006927367,13,0.00048034373
85,19,0.9837711,9,0.008513171,16,0.0012887364
86,12,0.9926749,2,0.001795511,9,0.0013624328
87,12,0.995745,2,0.0010080673,1,0.0004860409
88,12,0.9296415,17,0.03749942,2,0.012314068
89,12,0.9959745,2,0.0007069568,1,0.0003660735
90,9,0.51959306,12,0.43528017,2,0.0189525
91,12,0.9958144,2,0.0009344498,13,0.0004462783
92,16,0.99065673,19,0.0036216297,12,0.0020113853
93,16,0.7773101,19,0.20971946,12,0.0013550891
94,16,0.98324466,19,0.012232838,20,0.000507364
95,19,0.6921001,16,0.29331774,20,0.0022011755
96,16,0.9963973,19,0.001049931,1,0.00032515128
97,16,0.9969433,19,0.00078945217,1,0.00024320038
98,16,0.99671555,19,0.000880158,13,0.0002853404
99,16,0.9962035,19,0.0009128421,12,0.00035177593
100,10,0.9971578,7,0.00047839884,1,0.0003316035
101,10,0.9967339,7,0.00056278927,20,0.00043794347
102,10,0.99692506,7,0.0005959321,20,0.0003564169
103,10,0.9973417,7,0.00041819524,20,0.00030909773
104,10,0.9971873,7,0.00052760454,1,0.00025815438
105,10,0.9970079,7,0.0004970273,1,0.0004210674
106,10,0.9966305,15,0.0005037835,7,0.00046552875
107,10,0.9970591,7,0.0004972674,1,0.00033001986
108,10,0.9974753,20,0.00040724318,1,0.00029369644
109,4,0.9914262,7,0.0025225913,14,0.00061826536
110,4,0.99166554,7,0.0019507359,15,0.00097627944
111,4,0.9895754,7,0.004076964,14,0.0008016435
112,4,0.98807275,7,0.0027946776,19,0.0019261219
113,4,0.84620184,7,0.1266839,15,0.0038279067
114,4,0.99060774,7,0.0022618508,19,0.00088825356
115,14,0.9550187,4,0.02242235,7,0.0076273726
116,7,0.98241675,21,0.0064258943,4,0.001747399
117,4,0.82573104,7,0.15125774,15,0.0031570191
118,7,0.9965497,1,0.00078189163,19,0.00028989205
119,7,0.9922955,1,0.0020726635,8,0.0012428565
120,7,0.99511874,21,0.0008599194,1,0.0006811792
121,7,0.9966446,1,0.00059005525,21,0.0003227872
122,7,0.99354714,1,0.0028287088,19,0.0007552516
123,7,0.96992177,1,0.009130421,14,0.008682303
124,3,0.9976648,2,0.00021049479,12,0.00019796308
125,3,0.9976888,13,0.00023652264,6,0.00020996614
126,3,0.9965737,12,0.00032769167,7,0.00030665405
127,3,0.9973857,13,0.000318451,12,0.00024384745
128,3,0.9972579,20,0.00024987702,13,0.00024109037
129,3,0.99688905,6,0.0004596942,12,0.00039165484
130,13,0.9965965,5,0.0005439989,3,0.00042591515
131,13,0.99538994,5,0.0008849167,1,0.0006974691
132,13,0.99616325,5,0.00084565807,1,0.00051977223
133,13,0.99686676,5,0.0006749024,12,0.00029260112
134,13,0.994964,5,0.0013845424,1,0.0006916081
135,13,0.98614967,5,0.00411519,3,0.002509687
136,13,0.9697766,9,0.0128047615,5,0.0033178169
137,6,0.9948849,5,0.0012101918,17,0.0011114646
138,6,0.99744177,5,0.0006117493,13,0.0002779985
139,6,0.99520725,20,0.001589248,5,0.0005058365
140,6,0.9725566,5,0.020324484,13,0.0012493626
141,17,0.97253937,15,0.008222498,1,0.0069680028
142,6,0.9964013,5,0.0006674492,2,0.00061580027
143,6,0.9943546,9,0.0013091633,5,0.0011790725
144,2,0.9931225,12,0.0018344483,13,0.001547435
145,12,0.87300146,13,0.08468387,2,0.019828103
146,6,0.9967282,13,0.0008099031,12,0.00033050298
147,12,0.89624065,2,0.063428745,1,0.014904886
148,12,0.80544794,13,0.16251867,6,0.008072908
149,13,0.9897507,12,0.0032040393,5,0.0025338049
150,2,0.99685246,13,0.0005552445,5,0.00047105196
151,2,0.95586824,1,0.015455794,12,0.006374068
152,2,0.98368007,9,0.009290886,12,0.0012093789
153,2,0.99526125,12,0.0011546944,13,0.000732523
154,2,0.99169254,12,0.0039454265,9,0.0006496422
155,2,0.7971201,9,0.17780209,12,0.0059830914
156,2,0.9964798,12,0.0005286213,1,0.00033445345
157,2,0.9897911,12,0.001350098,17,0.0013466928
158,2,0.99560475,6,0.00092405314,5,0.00051970955
159,2,0.9953766,6,0.00070434925,12,0.0006102368
160,2,0.9906606,12,0.002308592,20,0.0014646928
161,2,0.9705504,17,0.0074436255,23,0.00591145
162,13,0.9935643,15,0.0017830852,23,0.0006248634
163,13,0.9944405,15,0.0019754453,12,0.00065574324
164,13,0.98889166,15,0.0032293983,6,0.0025088915
165,15,0.9296081,13,0.05681032,5,0.0018538362
166,23,0.9828379,13,0.005179098,15,0.002800281
167,23,0.99270165,13,0.00094296254,15,0.00075761543
168,23,0.9933515,15,0.0007600961,13,0.00067904097
169,23,0.99101955,15,0.0018532204,13,0.0010860759
170,1,0.7356822,19,0.08713998,20,0.038471133
171,2,0.88830173,20,0.042033996,1,0.035817854
172,1,0.9799922,13,0.0055384766,15,0.0049329195
173,7,0.909548,8,0.02708443,19,0.02311846
174,2,0.9946037,13,0.0017921262,5,0.0005711133
175,13,0.97723913,1,0.012950933,5,0.0019012734
176,13,0.6981865,20,0.15830931,1,0.0962699
177,19,0.9033536,1,0.055029508,13,0.02164333
178,1,0.98554635,15,0.007172385,5,0.0017621885
179,1,0.98975545,15,0.004379298,5,0.0016226476
180,14,0.870208,1,0.070342705,15,0.02961898
181,13,0.980317,5,0.01363544,2,0.0009446393
182,1,0.98841536,15,0.0069797845,18,0.0006497975
183,7,0.9653547,19,0.023632059,1,0.0032004802
184,8,0.9928758,19,0.0015103963,15,0.0011640452
185,19,0.6012322,7,0.19018966,1,0.07759371
186,8,0.99564135,19,0.0010341718,7,0.00042505836
187,13,0.8428272,1,0.06306614,7,0.046710502
188,7,0.5272509,1,0.2536272,8,0.1248567
189,18,0.35330206,15,0.29092172,19,0.15648925
190,2,0.9968546,12,0.00042437058,19,0.00036147377
191,2,0.7495565,5,0.14522082,13,0.07813418
192,13,0.95537966,2,0.021280022,5,0.014221992
193,13,0.96789104,12,0.012547522,5,0.010950094
194,2,0.82427263,12,0.16076538,3,0.0017590526
195,2,0.9907817,12,0.0044336705,13,0.0010358957
196,2,0.9949927,13,0.0012563535,5,0.0009180005
197,13,0.9394482,1,0.026381807,9,0.008640219
198,13,0.8014816,19,0.07519917,2,0.0516469
199,5,0.54617184,13,0.425664,1,0.00956167
200,5,0.79859316,13,0.1771123,3,0.005325815
201,13,0.9740117,12,0.01841844,6,0.0013836843
202,9,0.98660165,13,0.0036218837,5,0.0024144023
203,20,0.36919752,1,0.20502464,13,0.16324975
204,13,0.4077668,20,0.36285,1,0.1390155
205,1,0.44334412,20,0.29821068,15,0.18709032
206,19,0.99400145,9,0.0016646762,18,0.0005907263
207,15,0.5537757,1,0.26909554,18,0.09979834
208,19,0.9957534,12,0.001067522,2,0.00045884267
209,19,0.9771591,18,0.011060752,9,0.0041439966
210,18,0.7345746,1,0.1617719,19,0.0408965
211,19,0.99484444,16,0.0023404274,20,0.00038949208
212,19,0.99798596,20,0.00021700942,18,0.00019800375
213,1,0.9908688,19,0.0026273266,13,0.0010434074
214,1,0.9399401,5,0.024159394,18,0.013454001
215,8,0.9949115,19,0.0010611846,7,0.0008155052
216,13,0.9814542,3,0.009313878,5,0.0028822355
217,1,0.84155047,15,0.14075191,5,0.004131204
218,1,0.90881205,15,0.060199477,5,0.014422694
219,1,0.5927253,20,0.29797164,2,0.037301898
220,2,0.8466993,1,0.10592854,12,0.011982392
221,1,0.9952803,13,0.00077933253,15,0.00065899955
222,18,0.5737214,15,0.24281515,1,0.13483936
223,18,0.6619025,1,0.25428906,15,0.03222814
224,20,0.96442395,1,0.009183296,15,0.0066986145
225,20,0.894359,15,0.08097515,1,0.007232027
226,1,0.990862,15,0.0028291561,20,0.0023766514
227,5,0.9913749,1,0.0032748445,13,0.0010045816
228,5,0.9263541,6,0.02898579,16,0.01071074
229,13,0.94023263,1,0.027994528,5,0.011439439
230,19,0.9857603,20,0.00441165,16,0.0021140072
231,18,0.9637703,19,0.010724501,1,0.006122481
232,17,0.9857831,6,0.0026658068,3,0.0016711556
233,1,0.9961861,15,0.00060087844,19,0.00051822973
234,15,0.99554473,1,0.00081928377,5,0.0004622916
235,20,0.69731325,12,0.10187358,13,0.06687269
236,15,0.56109047,1,0.39776012,19,0.01638039
237,14,0.9959604,20,0.00037781286,19,0.00037093594
238,14,0.99386334,15,0.0012393937,13,0.0006217602
239,15,0.99345607,5,0.0009527909,1,0.00086953124
240,16,0.9719338,19,0.0141754635,12,0.0054146713
241,8,0.98456776,7,0.0076175295,19,0.002262951
242,8,0.99614173,19,0.00065011624,7,0.00045146272
243,8,0.996207,19,0.00057953276,7,0.00036155657
244,8,0.9956553,19,0.0006226092,15,0.000519396
245,7,0.71723515,19,0.16454032,8,0.055492837
246,8,0.995118,15,0.0010252489,1,0.0006058723
247,8,0.99649125,19,0.0005889486,7,0.0003474323
248,20,0.84855384,15,0.031617332,12,0.025306115
249,8,0.9940118,10,0.0013202518,19,0.00082846516
250,8,0.99602026,19,0.0005661867,15,0.0004654292
251,17,0.9819157,8,0.004037802,1,0.002875724
252,16,0.98992074,19,0.0034802416,12,0.001763317
253,16,0.996369,19,0.00097219064,1,0.0003039236
254,16,0.9942514,19,0.002436146,1,0.00035342944
255,8,0.23096566,15,0.20133574,3,0.1755995
256,16,0.9965946,19,0.000882946,1,0.00025027327
257,10,0.9906908,8,0.0020235383,17,0.0013025048
258,13,0.9968491,5,0.00059356954,12,0.00034986698
259,3,0.99750876,2,0.0002309605,12,0.00021685023
260,13,0.9969133,5,0.0005305132,12,0.00032111467
261,5,0.72180283,6,0.09510333,13,0.09025011
262,5,0.90350026,13,0.076048,1,0.005507932
263,13,0.99619234,5,0.001078283,15,0.00037787366
264,15,0.619165,1,0.12337871,4,0.085106716
265,3,0.99614346,17,0.0007250149,6,0.00036528497
266,17,0.8410238,15,0.040459283,1,0.027536295
267,15,0.98957425,4,0.0018781611,1,0.0009488698
268,3,0.721167,13,0.14230655,15,0.10246981
269,3,0.9969014,7,0.00034157856,19,0.0002807697
270,3,0.9973852,12,0.00026658387,6,0.00024697903
271,20,0.9897383,1,0.0019658813,14,0.001217415
272,3,0.9975095,6,0.0002456159,13,0.00024369197
273,3,0.99706846,6,0.00044232723,12,0.00034151398
274,19,0.9935138,1,0.0013262284,2,0.00087658677
275,19,0.7216712,7,0.18303567,1,0.059735145
276,19,0.9940667,18,0.00253009,7,0.0003376426
277,19,0.9905105,18,0.0049208933,1,0.00050479476
278,19,0.9917672,20,0.0039967187,16,0.0005683647
279,19,0.9977767,18,0.0002911358,7,0.00026756717
280,17,0.95991117,1,0.023448141,15,0.0038308403
281,1,0.5687121,5,0.17086008,17,0.117327556
282,17,0.93894523,1,0.036505856,15,0.007538131
283,17,0.9857341,2,0.0027565835,15,0.0026015413
284,20,0.9864299,1,0.0024550913,15,0.0013864383
285,6,0.922894,5,0.06568897,17,0.001811839
286,17,0.9913857,1,0.001257928,2,0.00081499125
287,17,0.96505815,15,0.016694462,1,0.0040990934
288,8,0.99664164,19,0.00059176097,15,0.00028788683
289,8,0.9945555,19,0.001092358,1,0.00057044654
290,7,0.5724634,8,0.3886839,19,0.0132946
291,8,0.99634415,19,0.00074214034,7,0.00032049275
292,20,0.37214974,15,0.16911907,7,0.06661137
293,8,0.99573946,19,0.00061444676,15,0.0005579445
294,15,0.97953093,19,0.0070571736,1,0.0042531253
295,15,0.99469453,19,0.0010536184,1,0.0009571591
296,15,0.98793846,19,0.004149378,18,0.0020837628
297,15,0.9965168,19,0.00062854704,1,0.00038923672
298,1,0.99423176,15,0.0020776875,5,0.0005446714
299,15,0.9929168,19,0.0017914625,1,0.0011874508
300,15,0.987128,1,0.0026250572,19,0.0021035785
301,15,0.98992467,19,0.00267142,18,0.0020663985
302,15,0.96475595,19,0.0066917725,18,0.0055869827
303,12,0.31037664,15,0.27038646,7,0.052251603
304,15,0.99636817,1,0.0004999176,19,0.0004664313
305,13,0.9096874,2,0.053499058,1,0.0131914085
306,1,0.51524603,20,0.13527851,2,0.05221605
307,13,0.97041065,1,0.01581603,2,0.0034777448
308,13,0.9968014,5,0.00059855724,15,0.00033321462
309,2,0.8051284,12,0.16255158,1,0.009167624
310,3,0.9514459,13,0.035923835,2,0.0033824763
311,3,0.99777216,13,0.00028773252,2,0.00017552006
312,3,0.9976915,12,0.00025844653,13,0.00017176366
313,3,0.9969627,13,0.00050901104,1,0.00038734596
314,3,0.99764484,13,0.00027706067,2,0.00023385289
315,3,0.9975828,13,0.0002482797,6,0.00021413257
316,3,0.9974106,12,0.00027645036,6,0.00021225313
317,3,0.98547345,13,0.0059235697,5,0.002642335
318,3,0.9963379,2,0.0007015218,12,0.0003471356
319,7,0.99282867,19,0.0015038245,1,0.001148153
320,7,0.9777518,8,0.0067488127,19,0.005671438
321,7,0.9921187,19,0.0031812761,1,0.0012452188
322,7,0.99507105,19,0.0010555803,1,0.0007673413
323,7,0.6671347,8,0.22619392,1,0.05753735
324,7,0.99539524,19,0.0007892474,1,0.00066888396
325,7,0.9951839,1,0.0015270913,19,0.0005134268
326,9,0.992121,19,0.0017713112,2,0.0008475048
327,9,0.9945239,2,0.00097344577,13,0.000663581
328,9,0.99467885,2,0.0008321079,13,0.0004793725
329,9,0.99487203,2,0.0007098014,5,0.00045457622
330,6,0.9255492,9,0.059766866,5,0.0027258184
331,9,0.91018224,2,0.07148217,6,0.002445532
332,20,0.65868056,1,0.14095366,10,0.084064655
333,20,0.9475133,13,0.019474944,1,0.013829203
334,10,0.9904749,2,0.0015680767,13,0.0014753935
335,10,0.9914283,7,0.0029838136,1,0.0009792331
336,6,0.9976921,13,0.00040504718,5,0.00030716954
337,6,0.9494273,23,0.016718661,9,0.013550928
338,6,0.9494273,23,0.016718661,9,0.013550928
339,19,0.9828387,16,0.009463646,20,0.0014950732
340,16,0.84784406,19,0.14050725,12,0.0016553857
341,12,0.93064004,1,0.01234264,2,0.011950913
342,16,0.88351136,19,0.1063628,12,0.0014173384
343,16,0.90450203,12,0.036801215,17,0.028495325
344,8,0.44395608,16,0.18289079,12,0.15099436
345,19,0.994048,16,0.0030667007,12,0.00026142137
346,12,0.996436,2,0.0005506708,16,0.00037595574
347,4,0.8155845,7,0.16325028,15,0.0028199798
348,4,0.99103105,7,0.0030669658,15,0.00073111855
349,7,0.99413043,1,0.0013528124,19,0.0010563531
350,7,0.99211264,21,0.0024940458,19,0.0011957419
351,7,0.8017257,4,0.1463273,21,0.01714376
352,4,0.98767406,7,0.004843396,15,0.0008922972
353,1,0.93921393,5,0.015655087,15,0.012988727
354,1,0.7177459,15,0.26403472,18,0.0036809933
355,5,0.99454296,1,0.0010100636,13,0.00080274866
356,2,0.9632774,5,0.025846383,13,0.0033176953
357,5,0.9946408,13,0.0012394387,1,0.00083577813
358,5,0.92268795,6,0.06156897,13,0.003531254
359,7,0.58604807,19,0.37319183,1,0.017180303
360,1,0.991527,19,0.001514427,13,0.0013122645
361,7,0.99201804,19,0.002917715,1,0.0016340091
362,19,0.467834,7,0.45713365,1,0.049309447
363,7,0.92531747,1,0.036213644,19,0.025715446
364,7,0.9947038,19,0.0014252583,1,0.00094754086
365,2,0.9705207,13,0.014066825,1,0.0030829918
366,1,0.94114447,19,0.033261925,13,0.007944213
367,19,0.9881523,16,0.007653353,20,0.00047345937
368,19,0.9964322,20,0.00062806945,16,0.0004927818
369,1,0.88980377,7,0.023074513,20,0.016668854
370,7,0.98353577,19,0.009742247,1,0.0019091346
371,7,0.9809224,19,0.01205639,1,0.0016444317
372,7,0.5205811,19,0.46018434,8,0.0027796316
373,7,0.9950552,19,0.0010735153,1,0.0010528561
